Height/arb.u.	Counts
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	643
1.01	663
1.02	619
1.03	627
1.04	605
1.05	603
1.06	701
1.07	638
1.08	633
1.09	620
1.1	590
1.11	655
1.12	606
1.13	696
1.14	654
1.15	646
1.16	662
1.17	644
1.18	630
1.19	623
1.2	644
1.21	681
1.22	690
1.23	688
1.24	736
1.25	647
1.26	676
1.27	713
1.28	735
1.29	757
1.3	799
1.31	768
1.32	781
1.33	787
1.34	780
1.35	772
1.36	785
1.37	811
1.38	859
1.39	887
1.4	876
1.41	897
1.42	907
1.43	938
1.44	975
1.45	929
1.46	943
1.47	982
1.48	1008
1.49	1000
1.5	931
1.51	1067
1.52	1053
1.53	1068
1.54	1130
1.55	1089
1.56	1143
1.57	1076
1.58	1201
1.59	1192
1.6	1220
1.61	1226
1.62	1240
1.63	1165
1.64	1301
1.65	1228
1.66	1339
1.67	1289
1.68	1367
1.69	1341
1.7	1339
1.71	1383
1.72	1423
1.73	1381
1.74	1447
1.75	1506
1.76	1518
1.77	1509
1.78	1502
1.79	1632
1.8	1525
1.81	1554
1.82	1659
1.83	1685
1.84	1715
1.85	1632
1.86	1693
1.87	1696
1.88	1642
1.89	1674
1.9	1756
1.91	1780
1.92	1750
1.93	1780
1.94	1913
1.95	1869
1.96	1842
1.97	1873
1.98	1905
1.99	1869
2	1945
2.01	1961
2.02	1895
2.03	1966
2.04	2027
2.05	1897
2.06	2017
2.07	1967
2.08	2014
2.09	2040
2.1	2062
2.11	2109
2.12	2060
2.13	2102
2.14	2179
2.15	2089
2.16	2107
2.17	2104
2.18	2044
2.19	2107
2.2	2155
2.21	2204
2.22	2149
2.23	2188
2.24	2167
2.25	2221
2.26	2182
2.27	2117
2.28	2293
2.29	2309
2.3	2279
2.31	2245
2.32	2188
2.33	2256
2.34	2239
2.35	2240
2.36	2261
2.37	2292
2.38	2306
2.39	2257
2.4	2315
2.41	2252
2.42	2228
2.43	2241
2.44	2238
2.45	2228
2.46	2284
2.47	2244
2.48	2215
2.49	2281
2.5	2249
2.51	2331
2.52	2265
2.53	2235
2.54	2284
2.55	2303
2.56	2270
2.57	2337
2.58	2259
2.59	2186
2.6	2237
2.61	2234
2.62	2215
2.63	2303
2.64	2223
2.65	2289
2.66	2241
2.67	2267
2.68	2291
2.69	2180
2.7	2199
2.71	2251
2.72	2185
2.73	2297
2.74	2230
2.75	2326
2.76	2220
2.77	2216
2.78	2183
2.79	2303
2.8	2299
2.81	2300
2.82	2242
2.83	2129
2.84	2217
2.85	2229
2.86	2145
2.87	2280
2.88	2251
2.89	2229
2.9	2192
2.91	2215
2.92	2115
2.93	2210
2.94	2162
2.95	2144
2.96	2154
2.97	2191
2.98	2193
2.99	2178
3	2213
3.01	2127
3.02	2053
3.03	2213
3.04	2125
3.05	2171
3.06	2154
3.07	2182
3.08	2155
3.09	2015
3.1	2057
3.11	2128
3.12	2076
3.13	2109
3.14	2119
3.15	2123
3.16	1988
3.17	2067
3.18	2160
3.19	2090
3.2	2055
3.21	2077
3.22	2050
3.23	2036
3.24	2009
3.25	2151
3.26	2053
3.27	1971
3.28	2147
3.29	2036
3.3	2061
3.31	1945
3.32	1889
3.33	1963
3.34	2039
3.35	1980
3.36	1979
3.37	2003
3.38	1959
3.39	1978
3.4	1945
3.41	2023
3.42	2013
3.43	1940
3.44	1933
3.45	1998
3.46	1873
3.47	1925
3.48	1860
3.49	1913
3.5	1862
3.51	1926
3.52	1875
3.53	1830
3.54	1781
3.55	1893
3.56	1842
3.57	1769
3.58	1776
3.59	1849
3.6	1844
3.61	1775
3.62	1896
3.63	1737
3.64	1817
3.65	1784
3.66	1660
3.67	1787
3.68	1709
3.69	1742
3.7	1749
3.71	1739
3.72	1734
3.73	1709
3.74	1767
3.75	1645
3.76	1731
3.77	1752
3.78	1756
3.79	1644
3.8	1784
3.81	1640
3.82	1675
3.83	1741
3.84	1672
3.85	1602
3.86	1711
3.87	1627
3.88	1681
3.89	1593
3.9	1609
3.91	1601
3.92	1698
3.93	1632
3.94	1559
3.95	1635
3.96	1603
3.97	1593
3.98	1567
3.99	1517
4	1549
4.01	1562
4.02	1558
4.03	1575
4.04	1534
4.05	1514
4.06	1526
4.07	1625
4.08	1487
4.09	1536
4.1	1458
4.11	1506
4.12	1511
4.13	1447
4.14	1482
4.15	1469
4.16	1411
4.17	1509
4.18	1484
4.19	1486
4.2	1439
4.21	1461
4.22	1416
4.23	1413
4.24	1413
4.25	1460
4.26	1405
4.27	1400
4.28	1402
4.29	1391
4.3	1397
4.31	1342
4.32	1387
4.33	1303
4.34	1326
4.35	1355
4.36	1368
4.37	1396
4.38	1373
4.39	1318
4.4	1332
4.41	1299
4.42	1302
4.43	1255
4.44	1272
4.45	1290
4.46	1295
4.47	1253
4.48	1259
4.49	1258
4.5	1232
4.51	1210
4.52	1283
4.53	1295
4.54	1302
4.55	1222
4.56	1285
4.57	1214
4.58	1185
4.59	1192
4.6	1209
4.61	1292
4.62	1208
4.63	1226
4.64	1181
4.65	1205
4.66	1159
4.67	1212
4.68	1194
4.69	1131
4.7	1184
4.71	1081
4.72	1188
4.73	1153
4.74	1133
4.75	1199
4.76	1120
4.77	1105
4.78	1105
4.79	1096
4.8	1113
4.81	1090
4.82	1092
4.83	1090
4.84	1064
4.85	1062
4.86	1083
4.87	1148
4.88	1052
4.89	1096
4.9	1035
4.91	1069
4.92	1058
4.93	1060
4.94	1024
4.95	1040
4.96	987
4.97	1021
4.98	1040
4.99	1045
5	1023
5.01	1053
5.02	1051
5.03	991
5.04	1063
5.05	964
5.06	972
5.07	988
5.08	1007
5.09	1017
5.1	966
5.11	962
5.12	966
5.13	988
5.14	984
5.15	940
5.16	1023
5.17	944
5.18	935
5.19	917
5.2	920
5.21	920
5.22	963
5.23	897
5.24	972
5.25	909
5.26	906
5.27	865
5.28	977
5.29	923
5.3	871
5.31	898
5.32	918
5.33	890
5.34	917
5.35	900
5.36	932
5.37	840
5.38	864
5.39	907
5.4	913
5.41	896
5.42	871
5.43	902
5.44	844
5.45	838
5.46	881
5.47	867
5.48	902
5.49	900
5.5	842
5.51	791
5.52	790
5.53	796
5.54	872
5.55	767
5.56	847
5.57	820
5.58	793
5.59	771
5.6	814
5.61	829
5.62	848
5.63	819
