Height/arb.u.	Counts
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	611
1.01	615
1.02	597
1.03	592
1.04	598
1.05	653
1.06	623
1.07	598
1.08	651
1.09	603
1.1	581
1.11	660
1.12	626
1.13	585
1.14	673
1.15	594
1.16	613
1.17	660
1.18	663
1.19	684
1.2	646
1.21	688
1.22	667
1.23	685
1.24	725
1.25	722
1.26	743
1.27	733
1.28	748
1.29	763
1.3	760
1.31	794
1.32	819
1.33	817
1.34	851
1.35	845
1.36	815
1.37	903
1.38	853
1.39	894
1.4	956
1.41	990
1.42	992
1.43	966
1.44	953
1.45	991
1.46	977
1.47	1023
1.48	1018
1.49	1054
1.5	1066
1.51	959
1.52	988
1.53	1025
1.54	1032
1.55	964
1.56	1032
1.57	1062
1.58	1029
1.59	1061
1.6	1052
1.61	1080
1.62	1030
1.63	1052
1.64	1083
1.65	1086
1.66	1120
1.67	1121
1.68	1125
1.69	1093
1.7	1151
1.71	1167
1.72	1109
1.73	1216
1.74	1110
1.75	1204
1.76	1177
1.77	1197
1.78	1269
1.79	1221
1.8	1234
1.81	1267
1.82	1310
1.83	1348
1.84	1326
1.85	1338
1.86	1350
1.87	1384
1.88	1374
1.89	1311
1.9	1357
1.91	1428
1.92	1469
1.93	1419
1.94	1436
1.95	1449
1.96	1462
1.97	1433
1.98	1531
1.99	1611
2	1598
2.01	1673
2.02	1615
2.03	1589
2.04	1683
2.05	1668
2.06	1675
2.07	1752
2.08	1790
2.09	1761
2.1	1785
2.11	1874
2.12	1857
2.13	1987
2.14	1991
2.15	1998
2.16	2063
2.17	2098
2.18	2072
2.19	2103
2.2	2118
2.21	2208
2.22	2130
2.23	2116
2.24	2059
2.25	2130
2.26	2187
2.27	2288
2.28	2278
2.29	2275
2.3	2368
2.31	2373
2.32	2264
2.33	2378
2.34	2413
2.35	2506
2.36	2351
2.37	2372
2.38	2426
2.39	2428
2.4	2531
2.41	2450
2.42	2371
2.43	2292
2.44	2300
2.45	2351
2.46	2365
2.47	2357
2.48	2300
2.49	2271
2.5	2330
2.51	2314
2.52	2268
2.53	2242
2.54	2236
2.55	2256
2.56	2162
2.57	2187
2.58	2099
2.59	2175
2.6	2133
2.61	2051
2.62	2133
2.63	2077
2.64	2040
2.65	2136
2.66	2113
2.67	1968
2.68	2103
2.69	2003
2.7	2027
2.71	2005
2.72	1972
2.73	2011
2.74	2042
2.75	2007
2.76	1954
2.77	1987
2.78	1971
2.79	1968
2.8	1960
2.81	1927
2.82	1921
2.83	1774
2.84	1874
2.85	1812
2.86	1903
2.87	1831
2.88	1856
2.89	1881
2.9	1845
2.91	1889
2.92	1891
2.93	1758
2.94	1834
2.95	1823
2.96	1826
2.97	1886
2.98	1845
2.99	1847
3	1882
3.01	1827
3.02	1799
3.03	1820
3.04	1749
3.05	1793
3.06	1836
3.07	1798
3.08	1824
3.09	1748
3.1	1760
3.11	1803
3.12	1825
3.13	1789
3.14	1710
3.15	1737
3.16	1806
3.17	1728
3.18	1736
3.19	1771
3.2	1730
3.21	1679
3.22	1826
3.23	1777
3.24	1793
3.25	1776
3.26	1731
3.27	1670
3.28	1772
3.29	1783
3.3	1658
3.31	1740
3.32	1725
3.33	1634
3.34	1680
3.35	1706
3.36	1715
3.37	1704
3.38	1696
3.39	1671
3.4	1762
3.41	1726
3.42	1682
3.43	1656
3.44	1661
3.45	1646
3.46	1637
3.47	1650
3.48	1647
3.49	1677
3.5	1637
3.51	1634
3.52	1626
3.53	1606
3.54	1628
3.55	1643
3.56	1602
3.57	1668
3.58	1577
3.59	1566
3.6	1625
3.61	1568
3.62	1646
3.63	1653
3.64	1562
3.65	1628
3.66	1583
3.67	1575
3.68	1493
3.69	1701
3.7	1629
3.71	1537
3.72	1633
3.73	1520
3.74	1590
3.75	1589
3.76	1522
3.77	1465
3.78	1541
3.79	1528
3.8	1559
3.81	1547
3.82	1544
3.83	1585
3.84	1496
3.85	1506
3.86	1483
3.87	1468
3.88	1578
3.89	1527
3.9	1541
3.91	1493
3.92	1572
3.93	1511
3.94	1549
3.95	1535
3.96	1463
3.97	1442
3.98	1490
3.99	1473
4	1470
4.01	1490
4.02	1471
4.03	1451
4.04	1510
4.05	1449
4.06	1447
4.07	1395
4.08	1374
4.09	1422
4.1	1458
4.11	1358
4.12	1375
4.13	1451
4.14	1447
4.15	1428
4.16	1351
4.17	1421
4.18	1373
4.19	1310
4.2	1413
4.21	1344
4.22	1303
4.23	1400
4.24	1361
4.25	1366
4.26	1300
4.27	1348
4.28	1271
4.29	1327
4.3	1330
4.31	1308
4.32	1330
4.33	1336
4.34	1276
4.35	1380
4.36	1289
4.37	1287
4.38	1340
4.39	1273
4.4	1214
4.41	1253
4.42	1287
4.43	1257
4.44	1299
4.45	1258
4.46	1278
4.47	1271
4.48	1251
4.49	1269
4.5	1258
4.51	1262
4.52	1267
4.53	1224
4.54	1222
4.55	1215
4.56	1164
4.57	1167
4.58	1262
4.59	1234
4.6	1272
4.61	1211
4.62	1225
4.63	1246
4.64	1227
4.65	1178
4.66	1257
4.67	1233
4.68	1215
4.69	1201
4.7	1152
4.71	1145
4.72	1122
4.73	1203
4.74	1157
4.75	1137
4.76	1136
4.77	1158
4.78	1148
4.79	1115
4.8	1187
4.81	1123
4.82	1125
4.83	1178
4.84	1137
4.85	1214
4.86	1188
4.87	1105
4.88	1130
4.89	1139
4.9	1125
4.91	1111
4.92	1067
4.93	1123
4.94	1161
4.95	1182
4.96	1119
4.97	1097
4.98	1157
4.99	1107
5	1102
5.01	1131
5.02	1114
5.03	1186
5.04	1164
5.05	1080
5.06	1074
5.07	1096
5.08	1033
5.09	1044
5.1	1072
5.11	1094
5.12	1065
5.13	1142
5.14	1077
5.15	1114
5.16	1154
5.17	1101
5.18	1128
5.19	1084
5.2	1092
5.21	1087
5.22	1103
5.23	1092
5.24	1021
5.25	1047
5.26	1034
5.27	994
5.28	1133
5.29	1078
5.3	1004
5.31	1010
5.32	1007
5.33	1059
5.34	1038
5.35	983
5.36	998
5.37	958
5.38	986
5.39	988
5.4	1062
5.41	974
5.42	983
5.43	978
5.44	947
5.45	946
5.46	897
5.47	959
5.48	931
5.49	965
5.5	931
5.51	897
5.52	939
5.53	888
5.54	868
5.55	947
5.56	903
5.57	861
5.58	881
