0.183, B, K_{a1}
0.183, B, K_{a2}
0.251, Ar, L_{b1}
0.277, C, K_{a1}
0.277, C, K_{a2}
0.296, K, L_{b1}
0.31, Ar, L_{b3}
0.31, Ar, L_{b4}
0.348, Sc, L_{l}
0.35, Ca, L_{b1}
0.353, Sc, L_{h}
0.359, K, L_{b4}
0.359, K, L_{b3}
0.392, N, K_{a2}
0.392, N, K_{a1}
0.395, Ti, L_{l}
0.396, Sc, L_{a1}
0.396, Sc, L_{a2}
0.4, Sc, L_{b1}
0.401, Ti, L_{h}
0.402, Sc, L_{b6}
0.412, Ca, L_{b3}
0.412, Ca, L_{b4}
0.446, V, L_{l}
0.452, Ti, L_{a1}
0.452, Ti, L_{a2}
0.454, V, L_{h}
0.456, Ti, L_{b6}
0.458, Ti, L_{b1}
0.468, Sc, L_{b4}
0.468, Sc, L_{b3}
0.5, Cr, L_{l}
0.51, Cr, L_{h}
0.511, V, L_{a1}
0.511, V, L_{a2}
0.513, V, L_{b6}
0.518, V, L_{b1}
0.525, O, K_{a2}
0.525, O, K_{a1}
0.529, Ti, L_{b3}
0.529, Ti, L_{b4}
0.556, Mn, L_{l}
0.568, Mn, L_{h}
0.572, Cr, L_{a2}
0.572, Cr, L_{a1}
0.575, Cr, L_{b6}
0.581, Cr, L_{b1}
0.59, V, L_{b4}
0.59, V, L_{b3}
0.615, Fe, L_{l}
0.628, Fe, L_{h}
0.637, Mn, L_{a2}
0.637, Mn, L_{a1}
0.64, Mn, L_{b6}
0.648, Mn, L_{b1}
0.651, F, K_{a3}
0.652, Cr, L_{b3}
0.652, Cr, L_{b4}
0.677, F, K_{a1}
0.677, F, K_{a2}
0.678, Co, L_{l}
0.693, Co, L_{h}
0.705, Fe, L_{a1}
0.705, Fe, L_{a2}
0.708, Fe, L_{b6}
0.717, Fe, L_{b1}
0.72, Mn, L_{b4}
0.72, Mn, L_{b3}
0.743, Ni, L_{l}
0.76, Ni, L_{h}
0.776, Co, L_{a1}
0.776, Co, L_{a2}
0.779, Co, L_{b6}
0.791, Co, L_{b1}
0.792, Fe, L_{b4}
0.792, Fe, L_{b3}
0.811, Cu, L_{l}
0.822, Ne, K_{a3}
0.831, Cu, L_{h}
0.848, Ne, K_{a2}
0.849, Ne, K_{a1}
0.851, Ni, L_{a2}
0.851, Ni, L_{a1}
0.855, Ni, L_{b6}
0.866, Co, L_{b4}
0.866, Co, L_{b3}
0.868, Ni, L_{b1}
0.884, Zn, L_{l}
0.907, Zn, L_{h}
0.929, Cu, L_{a2}
0.929, Cu, L_{a1}
0.931, Cu, L_{b6}
0.94, Ni, L_{b4}
0.94, Ni, L_{b3}
0.949, Cu, L_{b1}
0.957, Ga, L_{l}
0.984, Ga, L_{h}
1.009, Na, K_{a3}
1.012, Zn, L_{a2}
1.012, Zn, L_{a1}
1.02, Zn, L_{b6}
1.022, Cu, L_{b3}
1.022, Cu, L_{b4}
1.035, Zn, L_{b1}
1.037, Ge, L_{l}
1.041, Na, K_{a1}
1.041, Na, K_{a2}
1.068, Ge, L_{h}
1.098, Ga, L_{a1}
1.098, Ga, L_{a2}
1.107, Zn, L_{b3}
1.107, Zn, L_{b4}
1.114, Ga, L_{b6}
1.12, As, L_{l}
1.125, Ga, L_{b1}
1.155, As, L_{h}
1.188, Ge, L_{a2}
1.188, Ge, L_{a1}
1.191, Ga, L_{b4}
1.195, Ga, L_{b3}
1.204, Se, L_{l}
1.212, Ge, L_{b6}
1.216, Mg, K_{a3}
1.219, Ge, L_{b1}
1.245, Se, L_{h}
1.254, Mg, K_{a2}
1.254, Mg, K_{a1}
1.282, As, L_{a1}
1.282, As, L_{a2}
1.286, Ge, L_{b4}
1.293, Ge, L_{b3}
1.293, Br, L_{l}
1.297, Ga, L_{g2}
1.297, Ga, L_{g3}
1.315, As, L_{b6}
1.317, As, L_{b1}
1.339, Br, L_{h}
1.379, Se, L_{a2}
1.379, Se, L_{a1}
1.38, As, L_{b4}
1.383, Kr, L_{l}
1.386, As, L_{b3}
1.412, Ge, L_{g3}
1.412, Ge, L_{g2}
1.419, Se, L_{b1}
1.424, Se, L_{b6}
1.435, Kr, L_{h}
1.442, Al, K_{a3}
1.48, Br, L_{a2}
1.481, Br, L_{a1}
1.482, Rb, L_{l}
1.486, Al, K_{a2}
1.486, Se, L_{b4}
1.487, Al, K_{a1}
1.492, Se, L_{b3}
1.523, Br, L_{b6}
1.524, As, L_{g3}
1.524, As, L_{g2}
1.526, Br, L_{b1}
1.542, Rb, L_{h}
1.554, Al, K_{b1}
1.554, Al, K_{b3}
1.58, Kr, L_{a2}
1.581, Kr, L_{a1}
1.582, Sr, L_{l}
1.593, Br, L_{b4}
1.6, Br, L_{b3}
1.632, Kr, L_{b1}
1.647, Kr, L_{b6}
